Store,Train Size,Test Size,RMSE,Best Order,Seasonal Order
1,114,29,132527.741665038,"(1, 1, 1)","(1, 0, 0, 52)"
2,114,29,118340.53991856305,"(2, 0, 2)","(1, 0, 0, 52)"
3,114,29,15916.829287942957,"(5, 0, 3)","(1, 0, 0, 52)"
4,114,29,109690.54011114917,"(0, 0, 1)","(0, 1, 0, 52)"
5,114,29,37293.447843792215,"(0, 1, 1)","(1, 0, 0, 52)"
6,114,29,170715.7805897163,"(2, 0, 2)","(1, 0, 0, 52)"
7,114,29,36231.953714013165,"(0, 0, 1)","(0, 1, 0, 52)"
8,114,29,45420.05003041248,"(2, 0, 2)","(1, 0, 0, 52)"
9,114,29,69956.73647491478,"(2, 1, 1)","(0, 1, 0, 52)"
10,114,29,87425.07557498808,"(2, 0, 2)","(1, 0, 0, 52)"
11,114,29,139118.0274613665,"(2, 0, 2)","(1, 0, 0, 52)"
12,114,29,81495.04248765722,"(2, 0, 2)","(1, 0, 0, 52)"
13,114,29,189312.09096035876,"(2, 0, 2)","(1, 0, 0, 52)"
14,114,29,470760.3259945422,"(2, 0, 2)","(1, 0, 0, 52)"
15,114,29,50983.419941696135,"(2, 0, 2)","(1, 0, 0, 52)"
16,114,29,24696.256657942846,"(2, 0, 2)","(1, 0, 0, 52)"
17,114,29,56120.97971579298,"(1, 1, 1)","(1, 0, 0, 52)"
18,114,29,124355.90685547644,"(4, 0, 2)","(1, 0, 0, 52)"
19,114,29,137735.1537525764,"(2, 0, 2)","(1, 0, 0, 52)"
20,114,29,147309.2218869525,"(2, 0, 2)","(1, 0, 0, 52)"
21,114,29,42313.13642261115,"(1, 0, 2)","(1, 0, 0, 52)"
22,114,29,95505.88396106576,"(2, 0, 2)","(1, 0, 0, 52)"
23,114,29,209805.65874210084,"(2, 0, 2)","(1, 0, 0, 52)"
24,114,29,117255.10200764683,"(2, 0, 2)","(1, 0, 0, 52)"
25,114,29,56682.214759438044,"(2, 0, 2)","(1, 0, 0, 52)"
26,114,29,63527.34057072327,"(2, 0, 2)","(1, 0, 0, 52)"
27,114,29,99471.51909441549,"(2, 0, 2)","(1, 0, 0, 52)"
28,114,29,216996.54190633865,"(2, 0, 2)","(1, 0, 1, 52)"
29,114,29,47474.599544900426,"(2, 0, 2)","(1, 0, 0, 52)"
30,114,29,15726.535424120699,"(1, 1, 0)","(1, 0, 0, 52)"
31,114,29,58129.85125494378,"(1, 1, 1)","(1, 0, 0, 52)"
32,114,29,65330.278489312266,"(2, 0, 2)","(1, 0, 0, 52)"
33,114,29,14814.339810975203,"(0, 1, 0)","(1, 0, 0, 52)"
34,114,29,33304.75635581563,"(2, 0, 2)","(1, 0, 0, 52)"
35,114,29,58723.08449369428,"(1, 1, 1)","(1, 0, 0, 52)"
36,114,29,23272.1991775659,"(2, 1, 3)","(2, 0, 0, 52)"
37,114,29,19160.104111582586,"(1, 1, 0)","(1, 0, 0, 52)"
38,114,29,58523.77016413078,"(0, 1, 0)","(0, 1, 1, 52)"
39,114,29,156247.52677208828,"(4, 1, 0)","(1, 0, 0, 52)"
40,114,29,78729.3014197732,"(2, 0, 2)","(1, 0, 0, 52)"
41,114,29,62356.06298972956,"(4, 1, 0)","(1, 0, 0, 52)"
42,114,29,32112.600439723752,"(0, 1, 0)","(0, 1, 1, 52)"
43,114,29,18897.160426255654,"(0, 1, 0)","(0, 1, 1, 52)"
44,114,29,16123.459387206558,"(1, 1, 0)","(1, 0, 0, 52)"
45,114,29,44484.01130078359,"(2, 0, 2)","(1, 0, 0, 52)"
